lat,lon,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,nbr_丰台区 ,nbr_大兴区 ,nbr_密云县 ,nbr_平谷区 ,nbr_延庆县 ,nbr_怀柔区 ,nbr_房山区,nbr_昌平区,nbr_朝阳区 ,nbr_海淀区,nbr_石景山区,nbr_西城区,nbr_通州区 ,nbr_门头沟区 ,nbr_顺义区 ,rt_Private room,rt_Shared room
39.93793,116.39264,282,2,59,0.87,4,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40.00121,116.4836,201,2,3,0.04,1,228,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.92164,116.48291,503,1,24,0.71,4,290,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.88122,116.44044,376,2,53,0.79,1,336,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.92553,116.36991,758,1,18,0.33,4,270,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
39.89326,116.43438,658,4,13,0.22,2,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.97983,116.49724,503,3,15,0.26,1,274,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.91094,116.57713,127,1,26,0.39,5,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.956,116.30165,154,1,117,1.86,3,114,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39.9406,116.42196,201,3,93,1.55,1,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39.93601,116.43684,537,1,14,0.23,5,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.89265,116.60724,121,2,10,0.17,3,61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.98808,116.50903,121,2,7,0.21,3,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.90384,116.57642,127,2,32,0.54,5,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.92277,116.40404,872,2,26,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.97536,116.33664,349,1,1,0.13,3,365,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39.97832,116.33714,349,1,0,0.0,3,360,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39.98047,116.33857,369,1,6,0.32,3,361,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39.93633,116.4148,221,2,10,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.93856,116.43458,396,1,42,0.78,7,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.92176,116.42238,275,3,51,0.81,1,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.89905,116.45213,302,2,1,0.05,2,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.93686,116.45738,450,5,13,0.29,1,61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.92661,116.29503,315,1,7,0.33,1,347,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39.93023,116.51506,953,7,0,0.0,2,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.89587,116.30751,201,2,77,1.34,1,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39.91859,116.4628,1074,1,0,0.0,1,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.94102,116.44019,403,1,37,0.65,12,363,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.94019,116.44458,403,1,52,0.89,12,359,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.94138,116.44197,503,1,24,0.51,12,361,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.94728,116.41085,1208,3,34,0.56,1,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.37722,116.53817,1899,1,42,1.75,1,359,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
40.02132,116.4321,302,3,1,0.02,1,270,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.97475,116.48242,1490,5,4,0.17,2,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40.09031,116.56315,282,1,91,1.62,2,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40.07707,116.5684,282,1,41,0.74,2,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39.89524,116.45179,1007,1,38,0.76,9,351,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.89392,116.45123999999998,819,1,56,1.03,9,350,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40.47275,116.54455,953,1,44,0.73,1,355,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39.93528,116.44525,980,1,0,0.0,41,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.99312000000001,116.31588,302,2,4,0.12,1,64,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
