school_name,n_places_0,vacancy_rate_0,n_places_1,vacancy_rate_1,n_places_2,vacancy_rate_2,n_places_3,vacancy_rate_3,lat,lon
maris stella high school,71.0,0.2111111111111111,7.0,0.2148148148148148,0.0,0.2814814814814815,19.0,0.15555555555555556,1.34218395739982,103.87809644863
anglo-chinese school (junior),71.0,0.2148148148148148,7.0,0.1814814814814815,0.0,0.21851851851851853,19.0,0.15185185185185185,1.30932252730174,103.841552127373
anglo-chinese school (primary),71.0,0.12083333333333332,7.0,0.08333333333333333,0.0,0.20833333333333331,19.0,0.13333333333333333,1.31871859882709,103.835345168025
temasek primary school,71.0,0.125,7.0,0.2791666666666667,0.0,0.20416666666666666,19.0,0.14166666666666666,1.3177163894532,103.94569522928
de la salle school,71.0,0.2518518518518518,7.0,0.5,0.0,0.5111111111111111,19.0,0.4555555555555556,1.39507191622878,103.743443644259
river valley primary school,71.0,0.16666666666666666,7.0,0.3583333333333333,0.0,0.38333333333333336,19.0,0.26666666666666666,1.29418347541731,103.836018932052
geylang methodist school (primary),71.0,0.2629629629629629,7.0,0.562962962962963,0.0,0.5555555555555556,19.0,0.4962962962962963,1.317592749693,103.883892989147
gongshang primary school,71.0,0.18333333333333326,7.0,0.2619047619047619,0.0,0.2,19.0,0.11904761904761905,1.35734898151234,103.9488719255
radin mas primary school,71.0,0.18333333333333326,7.0,0.32916666666666666,0.0,0.2,19.0,0.10952380952380952,1.27496161242002,103.824179967969
jurong primary school,71.0,0.18333333333333326,7.0,0.475,0.0,0.4190476190476191,19.0,0.2380952380952381,1.33924375323728,103.698895783329
bukit panjang primary school,71.0,0.1875,7.0,0.37916666666666665,0.0,0.3125,19.0,0.2916666666666667,1.37347219247534,103.76931748391
princess elizabeth primary school,71.0,0.19583333333333333,7.0,0.4190476190476191,0.0,0.32857142857142857,19.0,0.3142857142857143,1.34919451758524,103.740999625133
admiralty primary school,71.0,0.2,7.0,0.4238095238095238,0.0,0.3809523809523809,19.0,0.21904761904761905,1.44254963931583,103.800213682734
kheng cheng school,71.0,0.20416666666666666,7.0,0.5666666666666667,0.0,0.6208333333333333,19.0,0.4833333333333333,1.33728818369963,103.847141122849
northland primary school,71.0,0.22083333333333333,7.0,0.2333333333333333,0.0,0.225,19.0,0.125,1.42130404433541,103.840792917089
kuo chuan presbyterian primary school,71.0,0.225,7.0,0.37916666666666665,0.0,0.37916666666666665,19.0,0.1625,1.34911457448232,103.854447658027
ngee ann primary school,71.0,0.225,7.0,0.36666666666666653,0.0,0.36666666666666653,19.0,0.2958333333333333,1.30554015271643,103.917755430065
west grove primary school,71.0,0.2333333333333333,7.0,0.4791666666666667,0.0,0.3857142857142857,19.0,0.37142857142857133,1.34471212179467,103.698964204829
canberra primary school,71.0,0.2375,7.0,0.2857142857142857,0.0,0.21904761904761905,19.0,0.2047619047619048,1.45106400675587,103.815970864699
poi ching school,71.0,0.2375,7.0,0.4208333333333333,0.0,0.2958333333333333,19.0,0.2416666666666667,1.35808700067905,103.935352521479
tanjong katong primary school,71.0,0.2416666666666667,7.0,0.5,0.0,0.5958333333333333,19.0,0.6,1.30530737066543,103.90053168483
xinmin primary school,71.0,0.1380952380952381,7.0,0.42857142857142855,0.0,0.42857142857142855,19.0,0.26666666666666666,1.37141472576199,103.883039143647
lakeside primary school,71.0,0.2458333333333333,7.0,0.5625,0.0,0.5190476190476191,19.0,0.3523809523809524,1.33837569571569,103.718096899655
rivervale primary school,71.0,0.25,7.0,0.5166666666666667,0.0,0.5375,19.0,0.3,1.39357380506775,103.904718284557
zhangde primary school,71.0,0.25,7.0,0.6125,0.0,0.4666666666666667,19.0,0.4666666666666667,1.28449821971479,103.826148977614
anderson primary school,71.0,0.14285714285714285,7.0,0.3380952380952381,0.0,0.20952380952380956,19.0,0.11904761904761905,1.38466596519595,103.841238418213
shuqun primary school,71.0,0.2625,7.0,0.4375,0.0,0.3875,19.0,0.375,1.34756849017026,103.721557973446
woodgrove primary school,71.0,0.2625,7.0,0.5380952380952381,0.0,0.4857142857142857,19.0,0.3809523809523809,1.43305806041,103.790389620371
edgefield primary school,71.0,0.2625,7.0,0.5458333333333333,0.0,0.6222222222222222,19.0,0.6142857142857143,1.40029783011552,103.907430523653
qifa primary school,71.0,0.26666666666666666,7.0,0.4142857142857143,0.0,0.45,19.0,0.3416666666666667,1.31262154226306,103.757030040839
jurong west primary school,71.0,0.26666666666666666,7.0,0.5416666666666666,0.0,0.35714285714285715,19.0,0.4380952380952381,1.33924375323728,103.698895783329
clementi primary school,71.0,0.26666666666666666,7.0,0.5625,0.0,0.5458333333333333,19.0,0.42916666666666653,1.31580856291998,103.76305484091
qihua primary school,71.0,0.26666666666666666,7.0,0.6190476190476191,0.0,0.6095238095238096,19.0,0.6916666666666667,1.4420359661233,103.78833975717
evergreen primary school,71.0,0.2708333333333333,7.0,0.5428571428571428,0.0,0.5190476190476191,19.0,0.4380952380952381,1.44414835944296,103.794545291298
pei tong primary school,71.0,0.2708333333333333,7.0,0.5047619047619047,0.0,0.65,19.0,0.6833333333333333,1.3161480173441,103.767576264023
woodlands ring primary school,71.0,0.2708333333333333,7.0,0.5238095238095238,0.0,0.5333333333333333,19.0,0.5958333333333333,1.43476970480441,103.797841126811
greenridge primary school,71.0,0.2791666666666667,7.0,0.6041666666666666,0.0,0.5916666666666667,19.0,0.4916666666666666,1.38587375431128,103.767814630258
xingnan primary school,71.0,0.2791666666666667,7.0,0.43333333333333335,0.0,0.35,19.0,0.4,1.34268487634267,103.68772398508
hong wen school,71.0,0.18095238095238092,7.0,0.3619047619047619,0.0,0.2523809523809524,19.0,0.12857142857142856,1.32168928544376,103.857651758668
